outer_test_subject,transition_weight,n1_emission_boost,mean_macro_f1,mean_balanced_accuracy,mean_n1_f1,mean_min_class_f1,std_macro_f1,selected
SC403,1.0,1.5,0.6678018671669085,0.6839146307115852,0.3341352684467259,0.31179312353507,0.0752960340325754,False
SC403,0.5,1.75,0.6677681698542176,0.6908775210448922,0.3726118605958903,0.32728680746863076,0.06776804466998358,False
SC403,0.75,1.75,0.6665863326917663,0.688632411171225,0.37266646887788796,0.31179269031049717,0.07798997058541711,False
SC403,1.0,1.75,0.6558547984540588,0.6736097856005389,0.35287306159388987,0.29341331860936326,0.08399755752310928,False
SC404,0.75,1.35,0.6703383589226913,0.6967962954638123,0.3122392193502378,0.26563727760266503,0.10785814196362468,True
SC404,1.0,1.5,0.6700723783007796,0.6948514368544026,0.3192471707761134,0.27275806665989066,0.10572473459709886,False
SC404,0.5,1.35,0.669704724250499,0.6986037883482992,0.3388545993311009,0.2895395308379502,0.09738406719732874,False
SC404,0.25,1.0,0.6695551598274209,0.6990060709943655,0.2969154170722572,0.2704297458807037,0.08586739534065443,False
SC404,0.5,1.2,0.6682295083218014,0.6938172932851735,0.301824275797478,0.260902374674956,0.09393616515758936,False
SC404,0.25,1.35,0.6682236992710893,0.7001924018815102,0.3513524507094388,0.3102137110701369,0.09501026091009333,False
SC404,0.5,1.1,0.6673142767917403,0.6951180366622097,0.28716726639359547,0.24624536527107338,0.10148098022746564,False
SC404,1.0,1.35,0.666501999931393,0.6930420084072967,0.30040756647853567,0.2538056247309629,0.10519573962392362,False
SC404,0.75,1.2,0.6664556557857495,0.6955118514554692,0.29044629661293764,0.243155656218849,0.105134758634582,False
SC404,0.25,1.2,0.66617201256078,0.6986100535431279,0.333415542550117,0.28954320962823377,0.08969963077043802,False
SC404,1.0,1.2,0.6659101784984831,0.6927457240839507,0.2893565180041099,0.24381196354866433,0.10531919470792112,False
SC404,0.5,1.5,0.6658757104903096,0.6952718330973158,0.358826035657303,0.31207278890405626,0.09439090501014191,False
SC404,0.25,1.5,0.6634775390025203,0.6956804968592143,0.35061143628849073,0.3106058517019496,0.09547847275757983,False
SC404,0.5,1.0,0.6631394985547396,0.6932934760853737,0.27100073291487903,0.23062530464677117,0.10615428619161918,False
SC404,0.75,1.5,0.662645816137156,0.6878551341611855,0.32496212187562906,0.2802132634281405,0.10176233700613939,False
SC404,0.25,1.1,0.6624423528253154,0.6938746245455389,0.30543191777496714,0.2620538335949962,0.08462410039284582,False
SC404,1.0,1.1,0.6620902708007594,0.6906485530095228,0.26591637770083876,0.2203718232453932,0.10478119393980959,False
SC404,0.75,1.1,0.6615901249286731,0.6912430005380873,0.2679591946513168,0.22227391546349953,0.10773129556434127,False
SC404,0.75,1.0,0.6608360015917805,0.6914376626900038,0.26044805936611753,0.2147627801783003,0.10588360713560414,False
SC404,1.0,1.0,0.6606791670459871,0.6864634422560355,0.2591313000500094,0.21789418664794757,0.10606723675989174,False
SC404,0.75,1.75,0.6582949295092945,0.6885249445864715,0.3508454304393919,0.30462694304443394,0.09753341524359024,False
SC404,0.5,1.75,0.6573760912094293,0.6883996201014233,0.36064953050735205,0.31547499251967237,0.10326463893199782,False
SC404,0.25,1.75,0.6564220714942183,0.6924213700173883,0.3731813501172748,0.3336804371531848,0.09827653390778776,False
