target_stage,comparison_stage,feature,n1_count,comparison_count,n1_mean,comparison_mean,cohens_d,abs_cohens_d,symmetric_auc,overlap_coefficient,discriminability_score,pair_rank
N1,N2,current_beta,683,3712,0.05373006153657762,0.012974453715933525,1.9930660885435783,1.9930660885435783,0.9166385305700003,0.3047013050941586,0.8546581828327053,1
N1,N2,current_rms,683,3712,1.0293088306603406e-05,1.4745106985230947e-05,-1.0474605527983971,1.0474605527983971,0.8167981174584742,0.4656493758519715,0.5807873252078395,5
N1,N2,current_std,683,3712,1.0266623593595498e-05,1.4723134324167758e-05,-1.047686665572079,1.047686665572079,0.8168584654415105,0.4675351517140405,0.5805044349345143,6
N1,N2,current_peak_to_peak,683,3712,8.411701124642787e-05,0.00011920319276026984,-0.9930515850937983,0.9930515850937983,0.7855439759302267,0.48946158555056296,0.5366093965841838,7
N1,N2,current_zero_crossing_rate,683,3712,0.13391898487066858,0.09546327227011492,1.3243702749827733,1.3243702749827733,0.796965916405816,0.5661579555207754,0.582389866549077,4
N1,N2,current_spectral_entropy,683,3712,4.5440832054102405,4.4053880656609845,0.2590561897858448,0.2590561897858448,0.6019269544857878,0.7260181848588882,0.1955817459818869,38
N1,N2,current_dominant_frequency,683,3712,0.6654465592972182,0.7747171336206896,-0.2003415743317503,0.2003415743317503,0.5944319716514364,0.807839794643308,0.1629152488725373,41
N1,N2,current_sef90,683,3712,9.166910688140556,6.766567887931035,0.6845076026094606,0.6845076026094606,0.676608175140102,0.5637452194931085,0.36653527163289934,23
N1,N2,current_delta_theta_ratio,683,3712,7.827261535433619,9.006761589608708,-0.19958906463196613,0.19958906463196613,0.6719089210885041,0.6920383260968346,0.2634396155639321,33
N1,N2,current_alpha_theta_ratio,683,3712,0.4564178554988908,0.29258874397934825,0.8519730199974646,0.8519730199974646,0.6899675619730399,0.7240720610137831,0.3729491027699029,20
N1,N2,current_sigma_theta_ratio,683,3712,0.1701519803655737,0.3776122386279697,-0.6422309768589417,0.6422309768589417,0.7423610497551371,0.6176351794820013,0.41516866038757805,16
N1,REM,prev2_delta,683,1322,0.7029421526609404,0.7034504740914125,-0.004051292156086136,0.004051292156086136,0.5175053105127109,0.800449870753528,0.05802303018541819,41
N1,REM,prev2_theta,683,1322,0.13254381429060577,0.16886059163049436,-0.5506398233291465,0.5506398233291465,0.6652804327264914,0.7321928928838022,0.30143782764910293,8
N1,REM,prev2_alpha,683,1322,0.06370437473753501,0.04907254085529031,0.31280718850097367,0.31280718850097367,0.5266400568817378,0.8399857795655458,0.10556397924377467,31
N1,REM,prev2_sigma,683,1322,0.02413932257373292,0.016027997592827244,0.5282981203468359,0.5282981203468359,0.626602844529895,0.7755386377178196,0.25073983503835645,13
N1,REM,prev2_beta,683,1322,0.051497973141778716,0.034347326809792925,0.5074860616575995,0.5074860616575995,0.6037449359083691,0.7572591773855222,0.22841600967990455,18
N1,REM,prev2_rms,683,1322,1.1947326728687553e-05,1.0267997776554875e-05,0.36520965715471865,0.36520965715471865,0.5396743476209568,0.8086709209835579,0.13272161199745303,27
N1,REM,prev2_std,683,1322,1.1921975938044888e-05,1.0237518188677013e-05,0.36585189355694314,0.36585189355694314,0.5403133811630189,0.805693932836135,0.13405237862933334,26
N1,REM,prev2_peak_to_peak,683,1322,9.709424055688591e-05,8.27120638984364e-05,0.3437632340763806,0.3437632340763806,0.5421202844972899,0.7923727968847945,0.13521021023178809,25
N1,REM,prev2_zero_crossing_rate,683,1322,0.1308565153733528,0.11985501765002517,0.28339930000138996,0.28339930000138996,0.5627819998538086,0.8268806081561502,0.1399157732227871,24
N1,REM,prev2_spectral_entropy,683,1322,4.42912327700003,4.56584494537446,-0.18500040996823158,0.18500040996823158,0.5334158059464452,0.8513300093252382,0.09089986557663232,34
N1,REM,prev2_dominant_frequency,683,1322,0.7562225475841874,0.5919062027231468,0.22430728589698695,0.22430728589698695,0.5212127018160957,0.9501177283631216,0.06483524902801942,38
N1,REM,prev2_sef90,683,1322,9.037335285505124,7.53536308623298,0.38026118583558904,0.38026118583558904,0.5754358607460635,0.7155813433216011,0.1893587699570816,20
N1,REM,prev2_delta_theta_ratio,683,1322,9.692593940091598,5.352725497012256,0.532866297067637,0.532866297067637,0.6169475682392578,0.8251495692891777,0.23184759894156778,15
N1,REM,prev2_alpha_theta_ratio,683,1322,0.5013917012787408,0.299940857476506,0.6747789449318508,0.6747789449318508,0.6978777884344896,0.6906402075031619,0.3609665886736348,5
N1,REM,prev2_sigma_theta_ratio,683,1322,0.21170314287130781,0.1003738974162789,0.8981901118395436,0.8981901118395436,0.7669354963751183,0.5859350600159925,0.4844770011478513,2
N1,REM,prev1_delta,683,1322,0.6996439727412131,0.7019883113014194,-0.0192342852204548,0.0192342852204548,0.5088069232694595,0.7899551015254849,0.05370104574743078,43
N1,REM,prev1_theta,683,1322,0.13501198268304188,0.16990025613464127,-0.5325155799491296,0.5325155799491296,0.6594859379395432,0.7204056589355052,0.2952821431448116,9
N1,REM,prev1_alpha,683,1322,0.06275833311991484,0.04937150363240109,0.319456145096571,0.319456145096571,0.5465542026699862,0.8650498490463228,0.12146265462520733,28
N1,REM,prev1_sigma,683,1322,0.022110333523690545,0.015806100395904625,0.493187913357413,0.493187913357413,0.6325933686703007,0.7764180010321998,0.2512879554674727,12
N1,REM,prev1_beta,683,1322,0.05453917017028089,0.03451103721933007,0.6101302531050501,0.6101302531050501,0.645375147022015,0.7456181348194646,0.28777105802387964,10
N1,REM,prev1_rms,683,1322,1.130990477654145e-05,1.0071924943673907e-05,0.2944790820710756,0.2944790820710756,0.5188830535392712,0.8146016395585021,0.10013458793823216,33
N1,REM,prev1_std,683,1322,1.1285216251674744e-05,1.0040786526420188e-05,0.2956130446512374,0.2956130446512374,0.5195652799897224,0.8083275927373893,0.1022417181399301,32
N1,REM,prev1_peak_to_peak,683,1322,9.193555795106162e-05,8.098310585026615e-05,0.27990600530025456,0.27990600530025456,0.5240058432252477,0.7900060470071745,0.10799053461885097,30
N1,REM,prev1_zero_crossing_rate,683,1322,0.13401464128843335,0.1200353000504286,0.36843700056398004,0.36843700056398004,0.587493881004645,0.8380066583529547,0.175158099418651,23
N1,REM,prev1_spectral_entropy,683,1322,4.455931108922596,4.575851018515975,-0.16478304693965767,0.16478304693965767,0.5271340065520319,0.8347516850771824,0.08490112657754406,35
N1,REM,prev1_dominant_frequency,683,1322,0.7163250366032211,0.5858547655068078,0.19982956010600877,0.19982956010600877,0.5222316114498863,0.9448714512595716,0.06323175521387328,39
N1,REM,prev1_sef90,683,1322,9.206076134699854,7.540279878971256,0.4309225334002995,0.4309225334002995,0.5964979411380336,0.7061841169708258,0.2198994977539133,19
N1,REM,prev1_delta_theta_ratio,683,1322,9.366453000819291,5.250347579093859,0.5184890894269629,0.5184890894269629,0.6121564779394989,0.8054547105742884,0.22883889923868567,17
N1,REM,prev1_alpha_theta_ratio,683,1322,0.4988285655050842,0.29813455789701254,0.7418738529525727,0.7418738529525727,0.7177576013981213,0.6751937589569909,0.393999927549609,4
N1,REM,prev1_sigma_theta_ratio,683,1322,0.19191857826081998,0.09696948282424293,0.9527967124749313,0.9527967124749313,0.7801968267609969,0.5894713409515286,0.5052220654419308,1
N1,REM,current_delta,683,1322,0.6991658100918544,0.7041578915333448,-0.04347266946429031,0.04347266946429031,0.5047423598390122,0.8535184500169449,0.04055957025526673,44
N1,REM,current_theta,683,1322,0.14083593555680834,0.16837432451371515,-0.43085753882560435,0.43085753882560435,0.6299364510491446,0.7725251017248368,0.24006006152801795,14
