outer_test_subject,top_k,transition_weight,n1_emission_boost,mean_macro_f1,mean_n1_f1,mean_min_class_f1,mean_balanced_accuracy,std_macro_f1,selected
SC400,15,0.75,1.1,0.6572299869555583,0.28008358504257086,0.28008358504257086,0.6736588900807331,0.09221564969384857,False
SC400,0,0.25,1.5,0.6571322352227208,0.3387416994368039,0.3387416994368039,0.6806795480500193,0.09017153861534682,False
SC400,20,1.0,1.2,0.656792910230576,0.285591360912979,0.2833417714220102,0.6754952234770506,0.09687245835533088,False
SC400,20,0.75,1.5,0.656743441466191,0.309732770637259,0.3084788521419612,0.6746893161253054,0.10243908737633144,False
SC400,20,0.75,1.35,0.6556789171946329,0.29040174878884556,0.28903128017699764,0.6756023788817098,0.10160606770767865,False
SC400,15,0.5,1.5,0.6553705152778977,0.31801989924846424,0.300855584107555,0.6772490320793776,0.10342530249293826,False
SC400,5,1.0,1.75,0.6553244407132836,0.3272941877266415,0.32131959463414445,0.6708735294628335,0.09954879994504602,False
SC400,20,1.0,1.75,0.6552429615686423,0.3394986877021881,0.3012008153617626,0.6723093005985605,0.10708397663212371,False
SC400,15,0.75,1.5,0.6543044306998373,0.29574140251537473,0.2741229054055482,0.6740858444371819,0.10330516115358855,False
SC400,20,1.0,1.0,0.6542187259980288,0.23204416907732828,0.23204416907732828,0.6721678197841833,0.08445792853213478,False
SC400,15,1.0,1.5,0.6542072240284383,0.291913844784299,0.2865194162500631,0.6723411945730253,0.09495456716592232,False
SC400,20,0.5,1.75,0.6539742826353835,0.34094313571638246,0.3242321870394328,0.6759976629291288,0.10156964625054757,False
SC400,15,0.25,1.75,0.6537213449739513,0.37045926982541555,0.3345965494223929,0.6857123761840322,0.09788949441248052,False
SC400,20,1.0,1.5,0.653130729347251,0.27850289469566575,0.277248976200368,0.6711098376022127,0.09976935365968548,False
SC400,5,0.75,1.5,0.6531105770778313,0.30157171284278966,0.2930016789373292,0.6731242510039062,0.10205868572859779,False
SC400,10,0.25,1.75,0.6527740030055111,0.35153552839312063,0.3222913124548173,0.681158097508703,0.10181943960218029,False
SC400,15,0.5,1.75,0.6501013926487926,0.3432935104836204,0.3101802475728222,0.6728403447978459,0.1023811932917044,False
SC400,20,0.25,1.75,0.6499885393364676,0.3647432095679827,0.338123850033776,0.6805591698612982,0.10233691916007526,False
SC400,15,1.0,1.75,0.6490334848115967,0.30554918465056613,0.26745394655532806,0.6693488056769361,0.10991724888997721,False
SC400,0,1.0,1.75,0.6482894029034296,0.3195381915451286,0.2824029130305397,0.6663753212456547,0.09909400359681841,False
SC400,15,0.75,1.75,0.6476387124249112,0.3455759471291208,0.3059926137957875,0.6666307907897187,0.10896686557015936,False
SC400,10,0.75,1.75,0.6474188789497719,0.3398079759615382,0.3025739334083467,0.6671768460118391,0.10436216029670643,False
SC400,0,0.25,1.75,0.6460421937949479,0.34670290506648394,0.3142014934346375,0.6744959068355957,0.10332535768013842,False
SC400,5,0.75,1.75,0.6459567017147222,0.3358809641578649,0.3138324466376492,0.6666762579187221,0.1057035784890108,False
SC400,10,0.5,1.75,0.6449671253974795,0.33225591480076927,0.2992481713704906,0.6680440677058342,0.10352872963043941,False
SC400,0,0.5,1.75,0.6444835539759002,0.3206686604954066,0.28558299498720585,0.6707002287370252,0.09911898812875113,False
SC400,5,0.25,1.75,0.6378545017896146,0.35358882947118236,0.28936192468619243,0.6721590584411963,0.10311616621891119,False
SC400,5,0.5,1.75,0.6360024583568408,0.3296007567042688,0.27021274458844247,0.6650388037446046,0.10257065462685518,False
SC400,0,0.75,1.75,0.6346522261970269,0.3146599990449181,0.2760177013947876,0.6568367807211363,0.10595136957465777,False
SC401,10,0.5,1.75,0.7342480669027868,0.39732839621922345,0.39732839621922345,0.7338975140931744,0.04446652534798975,True
SC401,20,0.5,1.75,0.7337558023103565,0.38522426292781337,0.38522426292781337,0.7335289993411849,0.049334839363127256,False
SC401,5,0.5,1.75,0.7322274475140889,0.3916026678110651,0.3916026678110651,0.7314513545897583,0.04685517980119779,False
SC401,10,0.25,1.75,0.7289002138877672,0.4098011384321502,0.4098011384321502,0.7311001224377249,0.046016786393028856,False
SC401,10,0.5,1.5,0.7288923693503702,0.3490435193408053,0.3490435193408053,0.7276790241803817,0.02992213779685105,False
SC401,20,0.25,1.5,0.7282992205788219,0.3659698304705446,0.3659698304705446,0.7296876736278708,0.03020845007939756,False
SC401,20,0.25,1.75,0.7276650642927471,0.39167731325459687,0.39167731325459687,0.7290685585887584,0.050191213201662456,False
SC401,15,0.5,1.75,0.7271936010309055,0.37829374980906455,0.37829374980906455,0.7258796947847044,0.04767997509921567,False
SC401,20,0.75,1.5,0.7259167735012291,0.30906681158510685,0.30906681158510685,0.7284727133515162,0.022782562253459347,False
SC401,20,0.25,1.35,0.7258978192043155,0.3471499987401919,0.3471499987401919,0.7269369902782689,0.029921664149720483,False
SC401,10,0.25,1.5,0.7255438341924649,0.38603718835518414,0.38603718835518414,0.7266162206685683,0.03999383310765388,False
SC401,5,0.25,1.5,0.7252192137873743,0.3784948766029655,0.3784948766029655,0.7260864177706583,0.0346984376535048,False
SC401,5,0.75,1.75,0.723478500215094,0.33582964384136094,0.33582964384136094,0.7208123783108877,0.03467766922694978,False
SC401,20,0.75,1.75,0.7224118967515231,0.32106496535870244,0.32106496535870244,0.7240142740385791,0.03410785462924305,False
